A 		= 4
B 		= 10
C 		= 16
D 		= 22
E 		= 28
F 		= 34
G 		= 40
H 		= 46
I 		= 52
J 		= 58
K 		= 64
L 		= 70
M 		= 76
N 		= 82
O 		= 88
P 		= 94
Q 		= 100
R 		= 106
S 		= 112
T 		= 118
U 		= 124
V 		= 130
W 		= 136
X 		= 142
Y 		= 148
Z 		= 154
1 		= 160
2 		= 166
3 		= 172
4 		= 178
5 		= 184
6 		= 190
7 		= 196
8 		= 202
9 		= 208
0 		= 214
! 		= 220
? 		= 226
+ 		= 232
- 		= 238
* 		= 244
/ 		= 250
. 		= 256
: 		= 262
Right 	= 268
Left 	= 274
Up 		= 280
Down 	= 286
= 		= 292
> 		= 298
< 		= 304
' 		= 310
[ 		= 316
| 		= 322
] 		= 328
\ 		= 334
Space 	= 340
, 		= 346
